ts	Sample#	A	B	dx	F
254458637.00000	311.00000	-18.94082	-13.16231	16.62973	0.68374
254458654.00000	312.00000	-18.67038	-13.08787	16.63582	0.68374
254458671.00000	313.00000	-18.50911	-13.02088	16.26311	0.68832
254458688.00000	314.00000	-18.48429	-13.02088	16.25488	0.68526
254458705.00000	315.00000	-18.36272	-12.97622	16.25732	0.65169
254458783.00000	316.00000	-17.92604	-12.82984	16.25702	0.65627
254458811.00000	317.00000	-17.82432	-12.80006	16.63521	0.67611
254458829.00000	318.00000	-17.72756	-12.73804	16.25732	0.68526
254458848.00000	319.00000	-17.70523	-12.74548	16.25153	0.68221
254458868.00000	320.00000	-17.64320	-12.73804	16.24423	0.72952
254458886.00000	321.00000	-17.58861	-12.72811	16.24879	0.72800
254458904.00000	322.00000	-17.55140	-12.68345	16.24879	0.74784
254458921.00000	323.00000	-17.55388	-12.67849	16.63034	0.74936
254458948.00000	324.00000	-17.53403	-12.70330	16.24484	0.74631
254458976.00000	325.00000	-17.51914	-12.69089	16.63795	0.76310
254459006.00000	326.00000	-17.50425	-12.66360	16.24209	0.76921
254459024.00000	327.00000	-17.50674	-12.69089	16.24392	0.76615
254459042.00000	328.00000	-17.48689	-12.68593	16.24027	0.76615
254459060.00000	329.00000	-17.43478	-12.67849	16.62486	0.76921
254459079.00000	330.00000	-17.36779	-12.67353	16.62608	0.74936
254459098.00000	331.00000	-17.33554	-12.63879	16.62303	0.77378
254459127.00000	332.00000	-17.11472	-12.56436	16.23387	0.81194
254459155.00000	333.00000	-16.79714	-12.45023	16.64283	0.86536
254459173.00000	334.00000	-16.52173	-12.35594	16.64953	0.97524
254459219.00000	335.00000	-15.68808	-12.13016	16.67054	1.05308
254459237.00000	336.00000	-15.51192	-12.02596	16.68211	1.05308
254459254.00000	337.00000	-15.16953	-11.95897	16.68180	1.05308
254459272.00000	338.00000	-14.81969	-11.86468	16.69398	1.03019
254459289.00000	339.00000	-14.50459	-11.80018	16.29873	1.02866
254459307.00000	340.00000	-14.36317	-11.73070	16.29477	0.96761
254459335.00000	341.00000	-13.88927	-11.59176	16.70251	0.88367
254459362.00000	342.00000	-13.35583	-11.40320	16.31305	0.88520
254459390.00000	343.00000	-12.74300	-11.22704	16.32157	0.83483
254459408.00000	344.00000	-12.58173	-11.21463	16.32797	0.80583
254459425.00000	345.00000	-12.28151	-11.11787	16.33223	0.80278
254459442.00000	346.00000	-12.04332	-11.01366	16.33984	0.80126
254459459.00000	347.00000	-11.71582	-11.00870	16.72961	0.80278
254459487.00000	348.00000	-11.30147	-10.83750	16.34319	0.76921
254459515.00000	349.00000	-10.60924	-10.64646	16.75732	0.85315
254459543.00000	350.00000	-9.90460	-10.42068	16.37760	0.92488
254459561.00000	351.00000	-9.45552	-10.32887	16.77559	0.92488
254459579.00000	352.00000	-9.00644	-10.22963	16.79143	0.99203
254459598.00000	353.00000	-8.79058	-10.12046	16.78534	1.05613
254459616.00000	354.00000	-8.37376	-10.00385	16.79112	1.06224
254459635.00000	355.00000	-7.97182	-9.89716	16.80696	1.04850
254459663.00000	356.00000	-7.52025	-9.77062	16.40379	1.03324
254459691.00000	357.00000	-7.21260	-9.67634	16.41688	1.03324
254459709.00000	358.00000	-7.02155	-9.61183	16.42115	1.00577
254459727.00000	359.00000	-6.93719	-9.57958	16.42054	0.99356
254459745.00000	360.00000	-6.79825	-9.55973	16.42571	0.98745
254459764.00000	361.00000	-6.66923	-9.52003	16.41840	0.97982
254459793.00000	362.00000	-6.51044	-9.48033	16.81244	0.99050
254459822.00000	363.00000	-6.29955	-9.41334	16.41505	0.99203
254459840.00000	364.00000	-6.08369	-9.35380	16.82340	1.00271
254459857.00000	365.00000	-5.97700	-9.29673	16.82370	1.00577
254459874.00000	366.00000	-5.74626	-9.25703	16.82553	1.02866
254459891.00000	367.00000	-5.48574	-9.18012	16.42845	1.02561
254459918.00000	368.00000	-5.17808	-9.10817	16.83984	1.06681
254459946.00000	369.00000	-5.02177	-9.04862	16.43485	1.08055
254459974.00000	370.00000	-4.84313	-8.99404	16.84106	1.06681
254459992.00000	371.00000	-4.67690	-8.94938	16.83436	1.06529
254460009.00000	372.00000	-4.54292	-8.92208	16.44063	1.06529
254460027.00000	373.00000	-4.49082	-8.88487	16.43089	1.09734
254460045.00000	374.00000	-4.34691	-8.83524	16.44277	1.10802
254460074.00000	375.00000	-4.22037	-8.80299	16.83680	1.10802
254460102.00000	376.00000	-4.16331	-8.78066	16.43850	1.09581
254460130.00000	377.00000	-4.12361	-8.77322	16.42906	1.08360
254460148.00000	378.00000	-4.07895	-8.72856	16.43546	1.07750
254460168.00000	379.00000	-4.08639	-8.73352	16.44642	1.05613
254460185.00000	380.00000	-4.06903	-8.75089	16.42876	1.05461
254460203.00000	381.00000	-4.05414	-8.74841	16.42663	1.05003
254460234.00000	382.00000	-4.06654	-8.75585	16.83436	1.04697
254460262.00000	383.00000	-4.02188	-8.73104	16.41871	1.04850
254460280.00000	384.00000	-3.96482	-8.71863	16.82583	0.99814
254460318.00000	385.00000	-3.85317	-8.68638	16.82553	1.01035
254460335.00000	386.00000	-3.75641	-8.65909	16.82005	1.09429
254460353.00000	387.00000	-3.61498	-8.61443	16.82340	1.09581
254460371.00000	388.00000	-3.51822	-8.54992	16.81213	1.13244
254460389.00000	389.00000	-3.38920	-8.55240	16.41018	1.13397
254460406.00000	390.00000	-3.28996	-8.48789	16.41627	1.15686
254460434.00000	391.00000	-2.98726	-8.40849	16.83314	1.15533
254460463.00000	392.00000	-2.65231	-8.29932	16.44246	1.15839
254460491.00000	393.00000	-2.33721	-8.19264	16.44124	1.15686
254460509.00000	394.00000	-2.17097	-8.12317	16.44946	1.09581
254460527.00000	395.00000	-2.10398	-8.09835	16.45160	1.02561
254460545.00000	396.00000	-1.97993	-8.06114	16.44764	0.99661
254460564.00000	397.00000	-1.85587	-8.02144	16.44581	0.94930
254460584.00000	398.00000	-1.78144	-7.96934	16.45342	0.95082
254460612.00000	399.00000	-1.70452	-7.97430	16.86177	0.97219
254460640.00000	400.00000	-1.67723	-7.96189	16.86694	0.98287
254460658.00000	401.00000	-1.67475	-7.94204	16.87090	0.98440
254460675.00000	402.00000	-1.64498	-7.94204	16.86481	0.99814
254460692.00000	403.00000	-1.59039	-7.92964	16.86268	0.99966
254460709.00000	404.00000	-1.52837	-7.90483	16.45769	1.00577
254460737.00000	405.00000	-1.44897	-7.83039	16.84654	1.03476
254460765.00000	406.00000	-1.33236	-7.81303	16.45038	1.09276
254460793.00000	407.00000	-1.24552	-7.79814	16.86116	1.11107
